"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"0002f38b-b26d-4945-8a5e-f85fa2c718da","","","","","","","","","","","","","","","","","","","-36.03214002","144.571241","","-36.03214002","144.571241","","","","","","","","","","","true","1036","drt19609","","0.64935064","0.4170376","0.01","-1.4556811","43.0","8.0","true","true","true"
"004e7472-c0ce-4e06-9b24-ba15c5cee574","","","","","","","","","","","","","","","","","","","-34.78752597","142.48038","","-34.78752597","142.48038","","","","","","","","","","","true","648","drt19609","","1.2861736","0.27934048","0.0","-1.5","39.0","8.0","true","true","true"
"00666751-31bb-44cd-bb42-12778de23d5d","","","","","","","","","","","","","","","","","","","-37.80032496","148.363464","","-37.80032496","148.363464","","","","","","","","","","","true","465","drt19609","","2.1126761","","0.02828427","-0.98144364","52.0","8.0","true","true","true"
"006a632a-95ab-4213-8e1a-c38a7f5d0121","","","","","","","","","","","","","","","","","","","-37.48120202","142.787006","","-37.48120202","142.787006","","","","","","","","","","","true","168","drt19609","","63.636364","0.6793749","0.0","-1.1239115","48.0","6.0","true","true","true"
"009a4ed0-c757-417b-a339-3c9e51e1cdf5","","","","","","","","","","","","","","","","","","","-38.10993603","141.136893","","-38.10993603","141.136893","","","","","","","","","","","true","772","drt19609","","0.0","1.0518296","0.036055513","-0.8159471","","","true","true","true"
"00ad6355-1ff9-4171-8fb4-023e96e225f4","","","","","","","","","","","","","","","","","","","-36.03394104","144.570005","","-36.03394104","144.570005","","","","","","","","","","","true","1032","drt19609","","0.5952381","0.42040265","0.0","-1.4557873","43.0","8.0","true","true","true"
"00d2ee7e-6d38-45d9-869e-cc3f1d3b0656","","","","","","","","","","","","","","","","","","","-35.56173404","143.761478","","-35.56173404","143.761478","","","","","","","","","","","true","637","drt19609","","3.409091","0.34250742","0.0","-1.4211106","41.0","8.0","true","true","true"
"00d69b1a-6acd-4907-941b-63cdd1541e66","","","","","","","","","","","","","","","","","","","-37.22912097","143.800751","","-37.22912097","143.800751","","","","","","","","","","","true","836","drt19609","","22.923588","0.831356","0.02","-1.0152533","47.0","7.0","true","true","true"
"0192e250-4705-4444-bdf9-416ab7f6c4a7","","","","","","","","","","","","","","","","","","","-36.16035598","146.316876","","-36.16035598","146.316876","","","","","","","","","","","true","75","drt19609","","2.661597","0.66406816","0.05656854","-1.0813857","46.0","9.0","true","true","true"
"01995ccb-f0a8-40c4-a1c9-5bebb800cf85","","","","","","","","","","","","","","","","","","","-38.51353","145.35509","","-38.51353","145.35509","","","","","","","","","","","true","896","drt19609","","0.0","1.0045283","0.10816654","-0.82817537","","","true","true","true"
"01cde9a9-0da8-45d3-aba4-b8a6a5b7009d","","","","","","","","","","","","","","","","","","","-38.09994598","143.545306","","-38.09994598","143.545306","","","","","","","","","","","true","306","drt19609","","12.371134","0.70362383","0.0","-1.2043265","51.0","5.0","true","true","true"
"01cf1359-66a0-44ff-9a0b-0caae4ed0c02","","","","","","","","","","","","","","","","","","","-35.56173404","143.761478","","-35.56173404","143.761478","","","","","","","","","","","true","636","drt19609","","3.409091","0.34250742","0.0","-1.4211106","41.0","8.0","true","true","true"
"022d49df-5217-4298-b666-7fe80373758f","","","","","","","","","","","","","","","","","","","-38.08809103","143.697038","","-38.08809103","143.697038","","","","","","","","","","","true","1150","drt19609","","0.0","0.67460996","0.0","-1.2168447","51.0","6.0","true","true","true"
"02574b2a-7bb5-40fe-89c3-4e25d7785746","","","","","","","","","","","","","","","","","","","-37.23692704","148.839339","","-37.23692704","148.839339","","","","","","","","","","","true","375","drt19609","","1.1299435","1.6486523","0.0","-0.5317713","60.0","7.0","true","true","true"
"025ac1c2-af24-48d0-ad34-d5a1a0ec5886","","","","","","","","","","","","","","","","","","","-36.47214702","144.793118","","-36.47214702","144.793118","","","","","","","","","","","true","297","drt19609","","45.679012","0.53707826","0.0","-1.333353","45.0","8.0","true","true","true"
"0267d57d-aa36-4f90-8aa0-fa5eaa545ec6","","","","","","","","","","","","","","","","","","","-37.838112","146.27153","","-37.838112","146.27153","","","","","","","","","","","true","356","drt19609","","1.2244898","4.81119","0.089999996","-0.01960355","77.0","5.0","true","true","true"
"02c1eed4-5075-46e1-b71a-dafd10bd5684","","","","","","","","","","","","","","","","","","","-38.51353","145.35509","","-38.51353","145.35509","","","","","","","","","","","true","899","drt19609","","0.0","1.0045283","0.10816654","-0.82817537","","","true","true","true"
"030ed444-ac8f-4c6e-8004-5bcc39d0ff44","","","","","","","","","","","","","","","","","","","-38.51353","145.35509","","-38.51353","145.35509","","","","","","","","","","","true","891","drt19609","","0.0","1.0045283","0.10816654","-0.82817537","","","true","true","true"
"034b1ccf-5de9-4547-ace6-fa29b8f542bc","","","","","","","","","","","","","","","","","","","-35.56013402","143.761415","","-35.56013402","143.761415","","","","","","","","","","","true","635","drt19609","","4.972376","0.34250742","0.0","-1.4211106","41.0","8.0","true","true","true"
"036a444e-8698-4078-93b3-450bdaea484a","","","","","","","","","","","","","","","","","","","-34.27485198","142.21124","","-34.27485198","142.21124","","","","","","","","","","","true","1192","drt19609","","0.0","0.22595212","0.0","-1.5","38.0","9.0","true","true","true"
"037d0464-46c9-41b1-a411-966df10f854d","","","","","","","","","","","","","","","","","","","-37.37310899","146.764511","","-37.37310899","146.764511","","","","","","","","","","","true","595","drt19609","","0.0","4.262353","0.0","-0.18561217","73.0","6.0","true","true","true"
"03aea01d-6413-4a59-8020-cbdbb59a64da","","","","","","","","","","","","","","","","","","","-37.43040903","143.723015","","-37.43040903","143.723015","","","","","","","","","","","true","710","drt19609","","45.588234","0.9875285","0.0","-0.8908064","","","true","true","true"
"03c47f7d-d5ef-4881-8f1d-c8e64dac1ef2","","","","","","","","","","","","","","","","","","","-38.46600599","145.279008","","-38.46600599","145.279008","","","","","","","","","","","true","1013","drt19609","","17.44186","0.9677328","0.044721358","-0.82939416","57.0","4.0","true","true","true"
"0422ba5d-28d7-4a48-893a-251805860678","","","","","","","","","","","","","","","","","","","-34.71098201","142.871729","","-34.71098201","142.871729","","","","","","","","","","","true","935","drt19609","","6.542056","0.27241495","0.03","-1.5","38.0","8.0","true","true","true"
"0428e658-3f4c-4db5-9a38-dce62cf1ee48","","","","","","","","","","","","","","","","","","","-37.90057302","147.494421","","-37.90057302","147.494421","","","","","","","","","","","true","842","drt19609","","0.0","0.747773","0.094868325","-1.3275278","51.0","6.0","true","true","true"
"045111fe-e376-42d6-906b-7f7d33ce7771","","","","","","","","","","","","","","","","","","","-37.22868201","143.800102","","-37.22868201","143.800102","","","","","","","","","","","true","832","drt19609","","23.024055","0.831356","0.02","-1.0152533","47.0","7.0","true","true","true"
"049c88ba-c33b-4024-a71a-e688813cb2b1","","","","","","","","","","","","","","","","","","","-38.25854097","144.064301","","-38.25854097","144.064301","","","","","","","","","","","true","502","drt19609","","17.54386","0.7892056","0.0","-1.1457316","51.0","6.0","true","true","true"
"04a548ac-b79e-4406-8f77-12615c811320","","","","","","","","","","","","","","","","","","","-37.80049","148.362876","","-37.80049","148.362876","","","","","","","","","","","true","455","drt19609","","3.9568346","","0.02828427","-0.98144364","52.0","8.0","true","true","true"
