WETLAND_NO,SITE_NAME,SITE_CODE,TYPE,C_TYPE,CMA,1M_STOCK,HECTARES,AVEMGC_H
82722,Baw Baw,BAWB,alpine,High country peatlands,WEST GIPPSLAND,366.0135238,0.8,183.0067619
75981,Cooper's Bog,CBOG,alpine,High country peatlands,NORTH EAST,457.5733443,3.8,228.7866722
82552,Dam Valley,DAMV,alpine,High country peatlands,WEST GIPPSLAND,345.5328348,1.3,172.7664174
97754,Delegate River,DELE,alpine,High country peatlands,EAST GIPPSLAND,593.0967388,176,296.5483694
,Echo Flat,ECHO,alpine,High country peatlands,GOULBURN BROKEN,311.6396921,0,155.819846
,Highlands Peatlands 4,GBPT4,alpine,High country peatlands,GOULBURN BROKEN,671.9092246,0,335.9546123
95209,Howitt's Rd,HOWI,alpine,High country peatlands,EAST GIPPSLAND,462.8258649,5.4,231.4129324
95089,Howitt's Rd South,HOWS,alpine,High country peatlands,EAST GIPPSLAND,416.5882458,10.1,208.2941229
90325,King Billy Track,KIBI,alpine,High country peatlands,WEST GIPPSLAND,444.2318945,0.5,222.1159473
97199,Limestone Creek,LIME,alpine,High country peatlands,EAST GIPPSLAND,438.8107347,10.4,219.4053673
97111,Native Dog Flat,NDOG,alpine,High country peatlands,EAST GIPPSLAND,379.9512881,2.8,189.9756441
75972,Nunziata Bog,NUNZ,alpine,High country peatlands,NORTH EAST,734.2445449,4,367.1222724
97051,Tony Bog,TONY,alpine,High country peatlands,EAST GIPPSLAND,330.4037747,2.6,165.2018874
60702,Barmah,BARM,billabong,Permanent open freshwater,GOULBURN BROKEN,133.5111472,251.1,66.75557358
45354,Black Charlie,BLCH,billabong,Deep freshwater marsh,NORTH CENTRAL,229.564795,8.6,114.7823975
75158,Chapel Lane,CHAP,billabong,Deep freshwater marsh,NORTH EAST,191.6442855,3.5,95.82214273
11439,Cowanna Billabong,COWA,billabong,Permanent open freshwater,MALLEE,147.2325158,12.5,73.61625791
10620,Horseshoe Lagoon,HOLA,billabong,Permanent open freshwater,MALLEE,132.9102529,34.7,66.45512644
11360,Kings Billabong,KING,billabong,Permanent open freshwater,MALLEE,66.05267044,171.5,33.02633522
63922,Little Rushy Swamp,LIRU,billabong,Shallow freshwater marsh,GOULBURN BROKEN,191.3943784,15.8,95.69718918
