LAB_SAMPLE_ID,DATASET,TC,TN,OC,IC
VW0001,Survey,110.2628104,9.151943948,110.4819619,
VW0002,Survey,68.01045245,5.339621021,62.12995965,
VW0003,Survey,17.03198043,1.573140554,17.47257556,
VW0004,Survey,27.4733537,2.859223974,26.3418377,
VW0005,Survey,114.6582658,9.560865964,127.9084093,
VW0006,Survey,153.2510299,11.34755354,142.6445647,
VW0007,Survey,9.67207512,0.892600179,8.225165882,
VW0008,Survey,44.43442279,4.07155316,42.26712273,
VW0009,Survey,169.2941879,12.92633309,177.0248877,
VW0010,Survey,110.0073736,8.773544708,112.9837192,
VW0011,Survey,79.33203036,5.989174504,68.34990276,
VW0012,Survey,14.06430006,1.362876461,14.73552556,
VW0013,Survey,70.68978923,5.328844448,64.06894656,
VW0014,Survey,149.0779951,7.941033824,147.0917799,
VW0015,Survey,110.8827954,8.626597529,107.1802608,
VW0016,Survey,63.54970685,5.026729909,55.47337432,
VW0017,Survey,38.7952711,3.755603692,34.10179243,
VW0018,Survey,36.78865258,3.181025633,35.44490049,
VW0019,Survey,264.1375803,16.32009715,284.2997282,
VW0020,Survey,72.72234951,5.575133214,61.62932969,
VW0021,Survey,106.9408311,7.614393218,95.24301912,
VW0022,Survey,67.98452684,5.801093834,59.61399542,
VW0023,Survey,12.88255764,0.92161632,9.028919194,
VW0024,Survey,289.7552928,12.04023377,146.1569774,
VW0025,Survey,235.9259136,11.97345463,147.4682353,
VW0026,Survey,288.6519449,12.16417685,196.651821,
VW0027,Survey,244.9387763,12.94903672,226.8011904,
VW0028,Survey,277.4629781,11.9025,277.4806351,
VW0029,Survey,292.4359926,13.1043638,168.670221,48.88402271
VW0030,Survey,306.376363,14.9808554,186.6387681,52.69585397
VW0031,Survey,298.5161529,14.1396756,290.0314587,
VW0032,Survey,283.5162234,15.34350006,264.6507522,
VW0034,Survey,225.8143355,7.635025554,112.8024547,
VW0035,Survey,174.5128187,6.150271041,97.58189751,
VW0036,Survey,215.8757271,4.724715197,114.5497138,116.8351295
VW0037,Survey,200.5152289,4.97041609,113.4280381,110.4138608
VW0038,Survey,121.711202,4.226412319,85.88505492,94.20569835
VW0039,Survey,348.188136,17.3603389,211.490705,44.21386872
