SAMPLE_ID,CORE_LABEL,CORE_NO,UPPER_SAMPLE_DEPTH,LOWER_SAMPLE_DEPTH,CORE_LENGTH,HEIGHT_IN,HEIGHT_OUT,COMPACTION_FACTOR,CONTAINER_WEIGHT,SAMPLE_CONTAINER_DRYWEIGHT,NOTES2
1,BRYN,1,0,2,120,59.5,3,,0,29.6215,DRY WEIGHT RECORDED DIRECTLY
2,BRYN,1,14,16,120,59.5,3,,0,49.4168,DRY WEIGHT RECORDED DIRECTLY
3,BRYN,1,28,30,120,59.5,3,,0,50.6982,DRY WEIGHT RECORDED DIRECTLY
4,BRYN,1,48,50,120,59.5,3,,0,57.933,DRY WEIGHT RECORDED DIRECTLY
5,BRYN,2,0,2,120,70,2,,0,22.4617,DRY WEIGHT RECORDED DIRECTLY
6,BRYN,2,14,16,120,70,2,,0,35.2921,DRY WEIGHT RECORDED DIRECTLY
7,BRYN,2,28,30,120,70,2,,0,58.0431,DRY WEIGHT RECORDED DIRECTLY
8,BRYN,2,48,50,120,70,2,,0,46.0234,DRY WEIGHT RECORDED DIRECTLY
9,BRYN,3,0,2,120,49,5,,0,27.1814,DRY WEIGHT RECORDED DIRECTLY
10,BRYN,3,14,16,120,49,5,,0,38.8121,DRY WEIGHT RECORDED DIRECTLY
11,BRYN,3,28,30,120,49,5,,0,43.758,DRY WEIGHT RECORDED DIRECTLY
12,BRYN,3,48,50,120,49,5,,0,55.4117,DRY WEIGHT RECORDED DIRECTLY
13,BRYN,3,58,60,120,49,5,,0,42.6847,DRY WEIGHT RECORDED DIRECTLY
14,BRYN,4,0,2,120,48,2,,0,27.8356,DRY WEIGHT RECORDED DIRECTLY
15,BRYN,4,14,16,120,48,2,,0,39.9984,DRY WEIGHT RECORDED DIRECTLY
16,BRYN,4,28,30,120,48,2,,0,49.4307,DRY WEIGHT RECORDED DIRECTLY
17,BRYN,4,48,50,120,48,2,,0,47.028,DRY WEIGHT RECORDED DIRECTLY
18,BRYN,4,58,60,120,48,2,,0,54.6485,DRY WEIGHT RECORDED DIRECTLY
19,BRYN,5,0,2,120,49,4,,0,21.192,DRY WEIGHT RECORDED DIRECTLY
20,BRYN,5,14,16,120,49,4,,0,43.647,DRY WEIGHT RECORDED DIRECTLY
21,BRYN,5,28,30,120,49,4,,0,34.3858,DRY WEIGHT RECORDED DIRECTLY
22,BRYN,5,48,50,120,49,4,,0,43.9994,DRY WEIGHT RECORDED DIRECTLY
23,BRYN,5,58,60,120,49,4,,0,71.2216,DRY WEIGHT RECORDED DIRECTLY
24,LONG,1,0,2,150,45,10,,0,22.7923,DRY WEIGHT RECORDED DIRECTLY
25,LONG,1,14,16,150,45,10,,0,19.5201,DRY WEIGHT RECORDED DIRECTLY
26,LONG,1,28,30,150,45,10,,0,20.4577,DRY WEIGHT RECORDED DIRECTLY
27,LONG,1,48,50,150,45,10,,0,18.7042,DRY WEIGHT RECORDED DIRECTLY
28,LONG,1,74,76,150,45,10,,0,18.8653,DRY WEIGHT RECORDED DIRECTLY
29,LONG,2,0,2,150,73,18,,0,17.3709,DRY WEIGHT RECORDED DIRECTLY
30,LONG,2,14,16,150,73,18,,0,18.185,DRY WEIGHT RECORDED DIRECTLY
31,LONG,2,28,30,150,73,18,,0,18.1968,DRY WEIGHT RECORDED DIRECTLY
32,LONG,2,48,50,150,73,18,,0,16.9082,DRY WEIGHT RECORDED DIRECTLY
33,LONG,2,72,74,150,73,18,,0,17.3384,NO LAB DATA
34,LONG,3,0,2,150,72,35,,0,25.3242,DRY WEIGHT RECORDED DIRECTLY
35,LONG,3,14,16,150,72,35,,0,25.7938,DRY WEIGHT RECORDED DIRECTLY
36,LONG,3,28,30,150,72,35,,0,29.9686,DRY WEIGHT RECORDED DIRECTLY
37,LONG,3,48,50,150,72,35,,0,28.7875,DRY WEIGHT RECORDED DIRECTLY
38,LONG,3,74,76,150,72,35,,0,29.732,DRY WEIGHT RECORDED DIRECTLY
39,LONG,4,0,2,150,87,15,,13.0333,18.1763,
40,LONG,4,14,16,150,87,15,,13.3001,17.1772,
41,LONG,4,28,30,150,87,15,,13.1979,16.6426,
44,LONG,5,0,2,150,74,17,,13.15007143,21.8472,
45,LONG,5,14,16,150,74,17,,13.0821,27.7758,
46,LONG,5,28,30,150,74,17,,13.1205,24.8743,
47,LONG,5,48,50,150,74,17,,13.0976,30.8095,
48,LONG,5,74,76,150,74,17,,13.219,23.1681,
49,DERE AHSP,1,0,2,120,55,30,,13.389,78.5279,
50,DERE AHSP,1,14,16,120,55,30,,13.2364,44.8944,
51,DERE AHSP,1,28,30,120,55,30,,13.0949,19.4384,
52,DERE AHSP,1,48,50,120,55,30,,13.19069091,79.9671,
53,DERE AHSP,1,74,76,120,55,30,,13.1583,87.3081,
54,DERE AHSP,2,0,2,120,55,48,,12.9988,25.693,
55,DERE AHSP,2,14,16,120,55,48,,13.0687,45.6985,
56,DERE AHSP,2,28,30,120,55,48,,13.2225,82.1308,
57,DERE AHSP,2,48,50,120,55,48,,13.0227,79.0256,
58,DERE AHSP,2,58,60,120,55,48,,13.2478,73.7891,
59,DERE AHSP,3,0,2,120,60,54,,13,22.8182,
60,DERE AHSP,3,14,16,120,60,54,,13.1085,43.2412,
