SITE_NAME,SITE_CODE,CORE_LABEL,CMA_NAME,STATE,RESERVE_NAME,DATE,CORE_NO,LAT,LON,NOTES1
Picks Swamp,ACI,ACI,NRSE,SA,NA,26/8/14,1,-38.04348333,140.9108833,
Picks Swamp,ACI,ACI,NRSE,SA,NA,26/8/14,2,-38.04381667,140.9107667,
Picks Swamp,ACI,ACI,NRSE,SA,NA,26/8/14,3,-38.04418333,140.9110833,
Ashmeade Swamp,ASHM,ASHM,Goulburn Broken ,VIC,Winton Bushland Reserve,5/10/15,1,-36.46575297,146.13095,
Ashmeade Swamp,ASHM,ASHM,Goulburn Broken ,VIC,Winton Bushland Reserve,5/10/15,2,-36.46515501,146.130694,
Ashmeade Swamp,ASHM,ASHM,Goulburn Broken ,VIC,Winton Bushland Reserve,5/10/15,3,-36.46470004,146.13049,
Ashmeade Swamp,ASHM,ASHM,Goulburn Broken ,VIC,Winton Bushland Reserve,5/10/15,4,-36.46451798,146.129658,
Ashmeade Swamp,ASHM,ASHM,Goulburn Broken ,VIC,Winton Bushland Reserve,5/10/15,5,-36.46434003,146.129817,
Baranduda Reserve,BARA,BARA,North East,VIC,Baranduda Bushland Reserve,7/10/15,1,-36.21734999,146.979804,
Baranduda Reserve,BARA,BARA,North East,VIC,Baranduda Bushland Reserve,7/10/15,2,-36.21763799,146.979412,
Baranduda Reserve,BARA,BARA,North East,VIC,Baranduda Bushland Reserve,7/10/15,3,-36.21795399,146.978878,
Baranduda Reserve,BARA,BARA,North East,VIC,Baranduda Bushland Reserve,7/10/15,4,-36.21757496,146.98018,
Baranduda Reserve,BARA,BARA,North East,VIC,Baranduda Bushland Reserve,7/10/15,5,-36.21789197,146.980262,
Barmah Lake,BARM,BARM,Goulburn Broken ,VIC,Barmah National Park,9/2/16,1,-35.95493599,144.958008,
Barmah Lake,BARM,BARM,Goulburn Broken ,VIC,Barmah National Park,9/2/16,2,-35.95452603,144.958288,
Barmah Lake,BARM,BARM,Goulburn Broken ,VIC,Barmah National Park,9/2/16,3,-35.95415899,144.958579,
Barmah Lake,BARM,BARM,Goulburn Broken ,VIC,Barmah National Park,9/2/16,4,-35.95349204,144.959048,
Barmah Lake,BARM,BARM,Goulburn Broken ,VIC,Barmah National Park,9/2/16,5,-35.95313396,144.959461,
Baw Baw Bog,BAWB,BAWB,West Gippsland ,VIC,Baw Baw National Park,15/2/16,1,-37.84350601,146.26966,
Baw Baw Bog,BAWB,BAWB,West Gippsland ,VIC,Baw Baw National Park,15/2/16,2,-37.84334298,146.26919,
Baw Baw Bog,BAWB,BAWB,West Gippsland ,VIC,Baw Baw National Park,15/2/16,3,-37.84298097,146.268915,
Baw Baw Bog,BAWB,BAWB,West Gippsland ,VIC,Baw Baw National Park,15/2/16,4,-37.84250303,146.268639,
Baw Baw Bog,BAWB,BAWB,West Gippsland ,VIC,Baw Baw National Park,15/2/16,5,-37.84223196,146.268673,
Lake Beeac,BEAC,BEAC,Corangamite,VIC,Lake Beeac Wildlife Reserve,26/8/15,1,-38.20181896,143.606774,
Lake Beeac,BEAC,BEAC,Corangamite,VIC,Lake Beeac Wildlife Reserve,26/8/15,2,-38.20128302,143.606792,
Lake Beeac,BEAC,BEAC,Corangamite,VIC,Lake Beeac Wildlife Reserve,26/8/15,3,-38.20077902,143.606827,
Lake Beeac,BEAC,BEAC,Corangamite,VIC,Lake Beeac Wildlife Reserve,26/8/15,4,-38.20002104,143.606815,
