SITE_CODE,OBJECTID,StreamName,AlbersArea (m^2),COUNT,MEAN_Bare,SUM_Bare,MEAN_Residual,SUM_Residual,MEAN_Modified,SUM_Modified,MEAN_Transformed,SUM_Transformed,MEAN_Replaced,SUM_Replaced,MEAN_Removed,SUM_Removed,MEAN_Native,SUM_Native
THRD,251244,BACK CREEK,42349999.94,49,0,0,0,0,0.244897959,12,0.306122449,15,0.448979592,22,0,0,0.551020408,27
LALB,251275, ,9668861.235,12,0,0,0,0,0,0,0.333333333,4,0.666666667,8,0,0,0.333333333,4
YAND,251502, ,2249618.947,3,0,0,0,0,0,0,0.666666667,2,0.333333333,1,0,0,0.666666667,2
HIND,251507,OUTLET CREEK,120902333.1,134,0,0,0,0,0.320895522,43,0.201492537,27,0.47761194,64,0,0,0.52238806,70
MUTT,252234, ,229524963.7,250,0,0,0,0,0,0,0.092,23,0.904,226,0.004,1,0.092,23
LAWL,252331, ,22145765.35,26,0,0,0,0,0.038461538,1,0.615384615,16,0.346153846,9,0,0,0.653846154,17
OLIV,253171, ,37536600.47,42,0,0,0,0,0.023809524,1,0.452380952,19,0.523809524,22,0,0,0.476190476,20
DARL,253363, ,69981762.88,77,0,0,0,0,0,0,0,0,1,77,0,0,0,0
REDG,253503, ,21625700.65,24,0,0,0,0,0,0,0.458333333,11,0.541666667,13,0,0,0.458333333,11
TOOA,254027, ,39305473.87,49,0,0,0,0,0.367346939,18,0.510204082,25,0.12244898,6,0,0,0.87755102,43
BRNG,254393, ,113762480,125,0.008,1,0,0,0.064,8,0.384,48,0.544,68,0,0,0.448,56
CONN,254650, ,64741979.3,72,0,0,0,0,0,0,0.263888889,19,0.736111111,53,0,0,0.263888889,19
KANA,256476, ,43896912.81,45,0,0,0,0,0,0,0.133333333,6,0.866666667,39,0,0,0.133333333,6
MERR,257428, ,8494173.84,8,0,0,0,0,0.125,1,0.25,2,0.625,5,0,0,0.375,3
LEAR,258863, ,5218704.666,10,0,0,0,0,0,0,0.2,2,0.8,8,0,0,0.2,2
MUNDY,258960, ,114014612.9,128,0,0,0,0,0.1171875,15,0.2578125,33,0.625,80,0,0,0.375,48
BUNI,259261,NEKEEYA CREEK,6442799.341,6,0,0,0,0,0,0,0.333333333,2,0.666666667,4,0,0,0.333333333,2
BRYN,259846,VOWEL CREEK,6251599.949,9,0,0,0,0,0,0,0,0,1,9,0,0,0,0
BRADSO,259974,WANNON RIVER,15625734.68,18,0,0,0,0,0.666666667,12,0.277777778,5,0.055555556,1,0,0,0.944444444,17
BRAD,259977,WANNON RIVER,15004107.57,22,0,0,0,0,0.045454545,1,0.545454545,12,0.409090909,9,0,0,0.590909091,13
MCAL,260462, ,242042057,253,0,0,0,0,0.067193676,17,0.126482213,32,0.806324111,204,0,0,0.193675889,49
DERE,261488,PINCHGUT CREEK,8793808.785,14,0,0,0,0,0.428571429,6,0.428571429,6,0.142857143,2,0,0,0.857142857,12
WEER,262369, ,25443109.86,30,0.133333333,4,0,0,0,0,0,0,0.866666667,26,0,0,0,0
CORN,262423,WOADY YALOAK RIVER,106425452.6,117,0.008547009,1,0,0,0.290598291,34,0.418803419,49,0.282051282,33,0,0,0.709401709,83
GNAR,262425,WOADY YALOAK RIVER,41133459.6,40,0,0,0,0,0.4,16,0.1,4,0.5,20,0,0,0.5,20
CLNG,262591, ,7782770.64,10,0,0,0,0,0,0,0.1,1,0.9,9,0,0,0.1,1
PURR,262798, ,46800377.06,55,0,0,0,0,0.072727273,4,0.2,11,0.727272727,40,0,0,0.272727273,15
COLA,262878, ,33675449.54,40,0,0,0,0,0.075,3,0.075,3,0.725,29,0.125,5,0.15,6
ELIN,262900,ELINGAMITE CREEK,11341758.38,14,0,0,0,0,0,0,0.142857143,2,0.857142857,12,0,0,0.142857143,2
FRST,264184, ,8854691.557,8,0,0,0,0,0.125,1,0.25,2,0.625,5,0,0,0.375,3
