"","objectID","SITE_CODE","HydroID","AHGFFType","NetNodeID","NCB_ID","SegmentNo","StreamName","HasSegment","ExtrnlBasn","NextDownID","SrcFCName","SrcFType","SrcType","SourceID","FeatRel","FSource","AttrRel","AttrSource","PlanAcc","Symbol","TextNote","AlbersArea","Shape_Leng","Shape_Area","NatVegProp","BareProp","ResidProp","ModProp","TransformedProp","ReplacedProp","removedProp"
"1",251244,"THRD","6730389","21","913687","1064017","1064017","BACK CREEK","2","0","-1","NCBs",NA,"0","1064017","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,42349999.9444,0.355,0.0042125,0.511627906976744,0,0,0.255813953488372,0.255813953488372,0.488372093023256,0.488372093023256
"2",251275,"LALB","6730420","21","882032","1064801","1064801",NA,"2","0","-1","NCBs",NA,"0","1064801","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,9668861.23509,0.175,0.000962499999998,0.3,0,0,0,0.3,0.7,0.7
"3",251502,"YAND","6730647","21","913674","1070134","1070134",NA,"2","1","6730643","NCBs",NA,"0","1070134","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,2249618.94748,0.155,0.000225,0.5,0,0,0,0.5,0.5,0.5
"4",251507,"HIND","6730652","21","774936","1070241","1070241","OUTLET CREEK","2","0","6730553","NCBs",NA,"0","1070241","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,120902333.11,0.745,0.0121,0.556451612903226,0,0,0.346774193548387,0.209677419354839,0.443548387096774,0.443548387096774
"5",252234,"MUTT","6731379","21","837120","1075449","1075449",NA,"2","0","6731130","NCBs",NA,"0","1075449","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,229524963.745,1.255,0.0231,0.0987124463519313,0,0,0,0.0987124463519313,0.896995708154506,0.896995708154506
"6",252331,"LAWL","6731476","21","747672","1075933","1075933",NA,"2","0","6731427","NCBs",NA,"0","1075933","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,22145765.3511,0.285,0.002225,0.695652173913043,0,0,0.0434782608695652,0.652173913043478,0.304347826086957,0.304347826086957
"7",253171,"OLIV","6732316","21","774868","1080993","1080993",NA,"2","0","-1","NCBs",NA,"0","1080993","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,37536600.4691,0.425,0.00378125,0.514285714285714,0,0,0.0285714285714286,0.485714285714286,0.485714285714286,0.485714285714286
"8",253363,"DARL","6732508","21","804992","1081911","1081911",NA,"2","0","6732509","NCBs",NA,"0","1081911","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,69981762.8796,0.535,0.00705,0,0,0,0,0,1,1
"9",253503,"REDG","6732648","21","756072","1082603","1082603",NA,"2","0","-1","NCBs",NA,"0","1082603","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,21625700.6456,0.27,0.00218125,0.476190476190476,0,0,0,0.476190476190476,0.523809523809524,0.523809523809524
"10",254027,"TOOA","6733172","21","765060","1084375","1084375",NA,"2","0","6732966","NCBs",NA,"0","1084375","2005/07/01","GEOSCIENCE AUSTRALIA","2003/01/01","GEOSCIENCE AUSTRALIA","125","0",NA,39305473.8692,0.465,0.00396875,0.875,0,0,0.3,0.575,0.125,0.125
