date,site,sample,water_depth,species_code,p_cover,height
16/1/06,HOWS,2,0,GF,20,35
16/1/06,HOWS,1,0,GG,20,38
16/1/06,HOWS,2,0,GG,5,52
16/1/06,HOWS,3,0,GG,70,46
16/1/06,HOWS,1,0,GK,40,4
16/1/06,HOWS,2,0,GK,10,2
16/1/06,HOWS,2,0,GM,5,26
16/1/06,HOWS,2,0,GN,5,13
16/1/06,HOWS,1,0,GR,2,28
16/1/06,HOWS,3,0,GR,5,19
16/1/06,HOWS,1,0,GT,30,2
16/1/06,HOWS,3,0,GV,5,18
16/1/06,HOWS,1,0,GZ,10,1
16/1/06,HOWS,2,0,GZ,10,1
16/1/06,HOWS,1,0,HA,40,46
16/1/06,HOWS,2,0,HA,50,73
16/1/06,HOWS,2,0,HB,2,11
16/1/06,HOWS,3,0,HC,20,47
25/8/15,ELIN,1,5,A,30,
25/8/15,ELIN,3,2,A,40,
25/8/15,PURR,1,0,KM,2,
25/8/15,PURR,2,58,KM,10,
25/8/15,PURR,5,14,KM,2,
25/8/15,ELIN,1,5,B,5,
25/8/15,PURR,1,0,B,20,2
25/8/15,PURR,3,0,B,2,11
25/8/15,PURR,4,5,B,2,
25/8/15,ELIN,4,10,bare,25,
25/8/15,PURR,2,58,bare,75,
25/8/15,ELIN,1,5,C,30,
25/8/15,ELIN,3,2,C,40,
25/8/15,ELIN,4,10,C,30,
25/8/15,ELIN,5,3,ID,5,5
25/8/15,ELIN,2,2,D,5,38
25/8/15,ELIN,2,2,E,80,
25/8/15,ELIN,2,2,F,10,41
25/8/15,ELIN,4,10,F,1,27
25/8/15,ELIN,2,2,G,15,
25/8/15,ELIN,3,2,G,3,18
25/8/15,ELIN,4,10,G,40,
25/8/15,ELIN,5,3,G,80,41
25/8/15,ELIN,3,2,H,10,53
25/8/15,ELIN,5,3,H,1,28
25/8/15,PURR,1,0,J,2,7
25/8/15,PURR,1,0,K,2,5
25/8/15,PURR,2,58,L,15,139
25/8/15,PURR,2,58,M,1,
25/8/15,PURR,1,0,N,50,160
25/8/15,PURR,3,0,N,100,178
25/8/15,PURR,5,14,N,25,214
25/8/15,PURR,4,5,O,1,
25/8/15,PURR,1,0,ZA,2,4
25/8/15,ELIN,1,5,CS,40,58
25/8/15,ELIN,2,2,CS,65,67
25/8/15,ELIN,3,2,CS,25,76
25/8/15,ELIN,4,10,CS,20,32
25/8/15,ELIN,5,3,CS,60,49
25/8/15,PURR,1,0,CS,25,22
25/8/15,PURR,4,5,CS,45,52
25/8/15,PURR,5,14,CS,10,34
25/8/15,PURR,5,14,CS,100,
26/8/15,BEAC,1,0,AA,5,
26/8/15,DERE,1B,0,bare,15,
26/8/15,DERE,2B,0,bare,15,
26/8/15,DERE,3B,0,bare,30,
26/8/15,DERE,5B,0,bare,10,
26/8/15,CORN,3,0,bare,5,
26/8/15,CORN,4,0,bare,10,
26/8/15,CORN,5,0,bare,5,
26/8/15,BEAC,1,0,bare,20,
26/8/15,BEAC,3,0,bare,75,
26/8/15,BEAC,4,0,bare,60,
26/8/15,BEAC,5,0,bare,30,
26/8/15,DERE,1A,8,P,100,84
26/8/15,DERE,2A,5,P,100,91
26/8/15,DERE,3A,4,P,90,63
26/8/15,DERE,4A,7,P,100,70
26/8/15,DERE,5A,5,P,100,89
26/8/15,DERE,2A,5,Q,5,120
26/8/15,DERE,3A,4,Q,10,100
26/8/15,DERE,4A,7,Q,2,87
26/8/15,DERE,5A,5,Q,1,100
26/8/15,DERE,2A,5,R,10,2
26/8/15,DERE,2B,0,R,2,
26/8/15,DERE,3B,0,R,3,
26/8/15,DERE,4B,0,R,1,5
26/8/15,DERE,5B,0,R,1,
26/8/15,DERE,3A,4,S,1,68
26/8/15,DERE,1B,0,S,80,83
26/8/15,DERE,2B,0,S,60,118
26/8/15,DERE,3B,0,S,40,59
26/8/15,DERE,4B,0,S,70,69
26/8/15,DERE,5B,0,S,75,73
26/8/15,DERE,1B,0,T,2,
26/8/15,DERE,4B,0,T,1,
26/8/15,DERE,2B,0,U,1,5
26/8/15,DERE,3B,0,U,5,4
26/8/15,DERE,2B,0,V,30,
26/8/15,DERE,3B,0,V,1,
26/8/15,DERE,3B,0,W,10,5
26/8/15,DERE,4B,0,W,1,
26/8/15,DERE,5B,0,W,15,
26/8/15,CORN,1,0,X,65,44
26/8/15,CORN,2,0,X,30,36
26/8/15,CORN,3,0,X,85,34
26/8/15,CORN,4,0,X,90,18
26/8/15,CORN,5,0,X,95,37
26/8/15,BEAC,1,0,X,15,3
26/8/15,BEAC,2,0,X,15,7
26/8/15,BEAC,3,0,X,20,4
26/8/15,BEAC,4,0,X,25,5
26/8/15,BEAC,5,0,X,2,2
26/8/15,CORN,1,0,Y,5,12
26/8/15,CORN,2,0,Y,1,5
26/8/15,BEAC,1,0,Y,30,8
26/8/15,BEAC,2,0,Y,90,5
26/8/15,BEAC,3,0,Y,5,8
26/8/15,BEAC,4,0,Y,10,9
26/8/15,BEAC,5,0,Y,2,3
26/8/15,CORN,1,0,Y,40,
26/8/15,CORN,2,0,Y,70,
26/8/15,CORN,3,0,Z,10,6
26/8/15,BEAC,1,0,Z,25,5
26/8/15,BEAC,3,0,Z,5,6
26/8/15,BEAC,4,0,Z,5,4
26/8/15,BEAC,5,0,Z,70,9
27/8/15,LONG,1A,19,AB,50,105
27/8/15,LONG,2A,20,AB,50,118
27/8/15,LONG,3A,7,AB,25,71
27/8/15,LONG,4A,8,AB,50,115
27/8/15,LONG,5A,6,AB,40,77
27/8/15,LONG,1B,4,AB,50,78
27/8/15,LONG,2B,4,AB,45,81
27/8/15,LONG,3B,6,AB,45,84
27/8/15,LONG,4B,6,AB,50,79
27/8/15,LONG,5B,5,AB,45,70
27/8/15,LONG,1B,4,AC,20,105
27/8/15,LONG,2B,4,AC,10,78
27/8/15,LONG,3B,6,AC,50,176
27/8/15,LONG,4B,6,AC,50,128
27/8/15,LONG,5B,5,AC,90,148
27/8/15,LONG,1B,4,AC,40,208
27/8/15,LONG,2B,4,AC,50,235
27/8/15,LONG,1A,19,AD,50,100
27/8/15,LONG,2A,20,AD,50,100
27/8/15,LONG,3A,7,AD,25,75
27/8/15,LONG,4A,8,AD,50,115
27/8/15,LONG,5A,6,AD,40,77
27/8/15,LONG,1B,4,AD,50,78
27/8/15,LONG,2B,4,AD,45,81
27/8/15,LONG,3B,6,AD,45,84
27/8/15,LONG,4B,6,AD,45,79
27/8/15,LONG,5B,5,AD,45,70
27/8/15,LONG,3A,7,AE,5,38
27/8/15,LONG,5A,6,AE,5,53
27/8/15,LONG,3B,6,AE,5,40
27/8/15,LONG,4B,6,AE,1,48
27/8/15,MUND,1,0,AF,100,160
27/8/15,MUND,2,0,AF,45,122
27/8/15,MUND,3,0,AF,100,110
27/8/15,MUND,4,0,AF,100,122
27/8/15,MUND,1,0,AH,75,28
27/8/15,MUND,2,0,AH,70,42
27/8/15,MUND,5,0,AH,90,30
