species_code,species_name,gf
GF,Alternanthera denticulata,forb
HX,Alternanthera denticulata,forb
KP,Alternanthera denticulata,forb
KQ,Alternanthera denticulata,forb
MU,Anthoxanthum odoratum,graminoid
GY,Arthropodium milifolium,forb
JX,Arthropodium milifolium,forb
FT,Aster subulatus,forb
EH,Atriplex nummularia,T/S
NP,Atriplex prostrata,forb
NS,Atriplex prostrata,forb
EI,Atriplex vesicaria,T/S
KM,Azolla pinnata,forb
LC,Azolla pinnata,forb
azolla,Azolla filiculoides,forb
FU,Baloskion tetraphyllum,graminoid
LW,Baloskion tetraphyllum,graminoid
HH,Baumea articulata,graminoid
IJ,Baumea articulata,graminoid
FX,Baumea rubiginosa,graminoid
LY,Baumea rubiginosa,graminoid
MS,Baumea rubiginosa,graminoid
NJ,Baumea rubiginosa,graminoid
FB,Bolboschoenus caldwellii,graminoid
OF,Bolboschoenus caldwellii,graminoid
GG,Bolboschoenus medianus,graminoid
GM,Calystegia sepium,forb
LS,Calystegia sepium,forb
DF,Cardamine hirsuta,forb
GU,Carex appressa,graminoid
KS,Carex appressa,graminoid
LJ,Carex appressa,graminoid
DM,Carex gaudichaudiana,graminoid
IT,Carex gaudichaudiana,graminoid
PB,Carex gaudichaudiana,graminoid
CX,Carex tereticaulis,graminoid
EN,Carpobrotus glaucescens,forb
HF,Carpobrotus glaucescens,forb
HE,Centella asiatica,forb
DP,Centella cordifolia,forb
HO,Centella cordifolia,forb
EG,Chenopodium nitrariaceum,T/S
GH,Conyza sp,forb
ID,Cotula coronopifolia,forb
KN,Crassula helmsii,forb
DE,Cyperus eragrostis,graminoid
OH,Cyperus eragrostis,graminoid
EJ,Cyperus gymnocaulos,graminoid
FH,Cyperus gymnocaulos,graminoid
FE,Ehrharta erecta,graminoid
CU,Eleocharis acuta,graminoid
GC,Eleocharis acuta,graminoid
KW,Eleocharis acuta,graminoid
HK,Eleocharis spacelata,graminoid
IV,Empodisma minor,graminoid
KB,Empodisma minor,graminoid
LU,Empodisma minor,graminoid
MC,Empodisma minor,graminoid
NK,Empodisma minor,graminoid
PA,Empodisma minor,graminoid
KC,Epachris glacialis,T/S
PI,Epachris glacialis,T/S
GR,Epilobium billardierianum,forb
LI,Epilobium billardierianum,forb
EX,Eucalyptus largiflorens,T/S
LV,Gleichenia dicarpa,T/S
JQ,Hakea microcarpa,T/S
NG,Hypericum japonicum,forb
HS,Isolepis inundata,graminoid
HG,Juncus acutus,graminoid
IS,Juncus acutus,graminoid
NU,Juncus acutus,graminoid
HP,Juncus articulatus,graminoid
JI,Juncus articulatus,graminoid
GS,Juncus bufonius,graminoid
MR,Juncus bufonius,graminoid
DY,Lachnagrostis filiformis,graminoid
FS,Lachnagrostis filiformis,graminoid
MT,Lachnagrostis filiformis,graminoid
NW,Lachnagrostis filiformis,graminoid
OL,Lachnagrostis filiformis,graminoid
TP,Lachnagrostis filiformis,graminoid
DG,Lactuca serriola,forb
lemna,Lemna minor,
IK,Leptocarpus brownii,graminoid
NQ,Lotus uliginosis,forb
OA,Marsilea drumondii,forb
IA,Melaleuca ericifolia,T/S
FW,Melaleuca squarrosa,T/S
IO,Melaleuca squarrosa,T/S
LT,Melaleuca squarrosa,T/S
MZ,Melaleuca squarrosa,T/S
TQ,Melilotus indicus,forb
DA,Mentha pulegium,forb
EK,Muehlenbeckia florulenta,T/S
ES,Muehlenbeckia florulenta,T/S
OB,Muehlenbeckia florulenta,T/S
DR,Myriophyllum crispatum,forb
EA,Myriophyllum crispatum,forb
HL,Myriophyllum crispatum,forb
KU,Myriophyllum crispatum,forb
OJ,Myriophyllum crispatum,forb
ET,Myriophyllum verrucosum,forb
NX,Paspalum diletatum,forb
GL,Paspalum distichum,forb
NN,Paspalum distichum,forb
OI,Paspalum distichum,forb
DD,Persicaria decipiens,forb
GI,Persicaria decipiens,forb
II,Persicaria decipiens,forb
KZ,Persicaria decipiens,forb
OE,Persicaria decipiens,forb
TG,Persicaria decipiens,forb
GP,Poa costiniana,graminoid
GW,Poa costiniana,graminoid
JF,Poa costiniana,graminoid
JP,Poa costiniana,graminoid
KE,Poa costiniana,graminoid
EZ,Polypogon monospeleansis,graminoid
KG,Richea continentis,forb
MB,Richea continentis,forb
PC,Richea continentis,forb
GE,Rorippa palustris,forb
TA,Rorippa palustris,forb
TF,Rorippa palustris,forb
FK,Rumex crispus,forb
EO,Schoenoplectus validus,graminoid
EW,Schoenoplectus validus,graminoid
TN,Sonchus asper,forb
PD,Sphagnum,bryophyte
MA,Sphagnum ,bryophyte
TV,Trifolium arvensis,forb
CS,Cycnogeton procerum,forb
TM,Triticum sp,graminoid
IN,Xantheria australis,graminoid
ZA,Urtica dioica,herb
ZB,Sarcocornia quinqueflora,
AV,Phragmites australis,
AZ,Phragmites australis,
ZC,algae,
ZD,Typha domingensis,
ZE,Marchantiophyta,
ZF,Eucalyptus camaldulensis,
ZG,Salix,
ZH,Lemna,
ZI,Taraxacum officinale,
ZJ,Cirsium vulgare,
juncus,Juncus,
sphagnum,Sphagnum moss,
grass,Poa,
algae,Algae,
